1,1 SGM,C.T.,8,Rajasthan,1,Ganganagar
2,3 STR,C.T.,8,Rajasthan,1,Ganganagar
3,A.Thirumuruganpoondi,T.P.,33,Tamil Nadu,12,Coimbatore
4,A.Vellalapatti,T.P.,33,Tamil Nadu,24,Madurai
5,Aadityana,C.T.,24,Gujarat,11,Porbandar
6,Aambaliyasan,C.T.,24,Gujarat,4,Mahesana
7,Aantaliya,C.T.,24,Gujarat,24,Navsari
8,Aarambhada,C.T.,24,Gujarat,10,Jamnagar
9,Abhayapuri,T.C.,18,Assam,4,Bongaigaon
10,Abiramam,T.P.,33,Tamil Nadu,27,Ramanathapuram
11,Abohar,M.Cl.,3,Punjab,11,Firozpur
12,Abrama,C.T.,24,Gujarat,25,Valsad
13,Abu Road,M,8,Rajasthan,19,Sirohi
14,Achabal,N.A.C.,1,Jammu & Kashmir,6,Anantnag
15,Achalpur,M.Cl.,27,Maharashtra,7,Amravati
16,Achampudur,T.P.,33,Tamil Nadu,29,Tirunelveli
17,Acharapakkam,T.P.,33,Tamil Nadu,3,Kancheepuram
18,Acharipallam,T.P.,33,Tamil Nadu,30,Kanniyakumari
19,Achhalda,N.P.,9,Uttar Pradesh,32,Auraiya
20,Achhnera,M.B.,9,Uttar Pradesh,15,Agra
21,Achipatti,C.T.,33,Tamil Nadu,12,Coimbatore
22,Adalaj,C.T.,24,Gujarat,6,Gandhinagar
23,Adampur,M.Cl.,3,Punjab,4,Jalandhar
24,Adari,N.P.,9,Uttar Pradesh,62,Mau
25,Adikaratti,T.P.,33,Tamil Nadu,11,The Nilgiris
26,Adilabad,M,28,Andhra Pradesh,1,Adilabad
27,Adiramapattinam,T.P.,33,Tamil Nadu,21,Thanjavur
28,Adityapatna,C.T.,29,Karnataka,18,Tumkur
29,Adityapur,N.A.,20,Jharkhand,17,Pashchimi Singhbhum
30,Adoni,M,28,Andhra Pradesh,21,Kurnool
31,Adoor,M,32,Kerala,12,Pathanamthitta
32,Adra,C.T.,19,West Bengal,14,Puruliya
33,Aduthurai alias Maruthuvakudi,T.P.,33,Tamil Nadu,21,Thanjavur
34,Adyar,C.T.,29,Karnataka,24,Dakshina Kannada
35,Afzalgarh,M.B.,9,Uttar Pradesh,3,Bijnor
36,Afzalpur,T.P.,29,Karnataka,4,Gulbarga
37,Agar,M,23,Madhya Pradesh,22,Shajapur
38,Agaram,T.P.,33,Tamil Nadu,13,Dindigul
39,Agartala,M.Cl.,16,Tripura,1,West Tripura 
40,Agarwal Mandi,N.P.,9,Uttar Pradesh,8,Baghpat
41,Agastheeswaram,T.P.,33,Tamil Nadu,30,Kanniyakumari
42,Agra,M.Corp.,9,Uttar Pradesh,15,Agra
43,Agra,C.B.,9,Uttar Pradesh,15,Agra
44,Ahiwara,N.P.,22,Chhattisgarh,10,Durg
45,Ahmadnagar,M.Cl.,27,Maharashtra,26,Ahmadnagar
46,Ahmadnagar,C.B.,27,Maharashtra,26,Ahmadnagar
47,Ahmadpur,C.T.,19,West Bengal,8,Birbhum
48,Ahmadpur,M.Cl.,27,Maharashtra,28,Latur
49,Ahmedabad,M.Corp.,24,Gujarat,7,Ahmadabad
50,Ahmedabad Cantonment,C.B.,24,Gujarat,7,Ahmadabad
51,Ahmedgarh,M.Cl.,3,Punjab,16,Sangrur
52,Ahraura,M.B.,9,Uttar Pradesh,69,Mirzapur
53,Aiho,C.T.,19,West Bengal,6,Maldah 
54,Ailum,N.P.,9,Uttar Pradesh,2,Muzaffarnagar
55,Air Force Area,C.T.,9,Uttar Pradesh,58,Gorakhpur
56,Aistala,C.T.,19,West Bengal,10,Nadia 
57,Aizawl,N.T.,15,Mizoram,3,Aizawl
58,Ajaigarh,N.P.,23,Madhya Pradesh,10,Panna
59,Ajhuwa,N.P.,9,Uttar Pradesh,44,Kaushambi
60,Ajmer,M.Cl.,8,Rajasthan,21,Ajmer
61,Ajnala,N.P.,3,Punjab,2,Amritsar
62,Ajra,C.T.,27,Maharashtra,34,Kolhapur
63,Akalgarh,C.T.,3,Punjab,9,Ludhiana
64,Akaltara,N.P.,22,Chhattisgarh,6,Janjgir-Champa
65,Akathiyoor,C.T.,32,Kerala,7,Thrissur
66,Akbarpur,N.P.,9,Uttar Pradesh,33,Kanpur Dehat
67,Akbarpur,M.B.,9,Uttar Pradesh,48,Ambedaker Nagar
68,Akhnoor,N.A.C.,1,Jammu & Kashmir,13,Jammu
69,Akkalkot,M.Cl.,27,Maharashtra,30,Solapur
70,Akkarampalle,C.T.,28,Andhra Pradesh,23,Chittoor
71,Akkayapalle,C.T.,28,Andhra Pradesh,20,Cuddapah
72,Aklera,M,8,Rajasthan,32,Jhalawar
73,Akoda,N.P.,23,Madhya Pradesh,3,Bhind
74,Akodia,N.P.,23,Madhya Pradesh,22,Shajapur
75,Akola,M.Cl.,27,Maharashtra,5,Akola
76,Akot,M.Cl.,27,Maharashtra,5,Akola
77,Alagappapuram,T.P.,33,Tamil Nadu,30,Kanniyakumari
78,Alampalayam,T.P.,33,Tamil Nadu,9,Namakkal
79,Alampur,N.P.,23,Madhya Pradesh,3,Bhind
80,Aland,T.M.C,29,Karnataka,4,Gulbarga
81,Alandi,M.Cl.,27,Maharashtra,25,Pune
82,Alandur,M,33,Tamil Nadu,3,Kancheepuram
83,Alang,C.T.,24,Gujarat,14,Bhavnagar
84,Alanganallur,T.P.,33,Tamil Nadu,24,Madurai
85,Alangayam,T.P.,33,Tamil Nadu,4,Vellore
86,Alangudi,T.P.,33,Tamil Nadu,22,Pudukkottai
87,Alangulam,T.P.,33,Tamil Nadu,26,Virudhunagar
88,Alangulam,T.P.,33,Tamil Nadu,29,Tirunelveli
89,Alanthurai,T.P.,33,Tamil Nadu,12,Coimbatore
90,Alapakkam,C.T.,33,Tamil Nadu,3,Kancheepuram
91,Alappuzha,M,32,Kerala,11,Alappuzha
92,Alawalpur,M.Cl.,3,Punjab,4,Jalandhar
93,Aldona,C.T.,30,Goa,1,North Goa 
94,Ali Pur,C.T.,7,Delhi *,1,North West
95,Alibag,M.Cl.,27,Maharashtra,24,Raigarh
96,Aliganj,M.B.,9,Uttar Pradesh,17,Etah
97,Aligarh,M.Corp.,9,Uttar Pradesh,12,Aligarh
98,Alipurduar,M,19,West Bengal,2,Jalpaiguri 
99,Alipurduar Rly.Jnc.,C.T.,19,West Bengal,2,Jalpaiguri 
100,Alirajpur,M,23,Madhya Pradesh,24,Jhabua
101,Allahabad,M.Corp.,9,Uttar Pradesh,45,Allahabad 
102,Allahabad,C.B.,9,Uttar Pradesh,45,Allahabad 
103,Allahganj,N.P.,9,Uttar Pradesh,22,Shahjahanpur
104,Allapur,N.P.,9,Uttar Pradesh,19,Budaun
105,Allapuram,T.P,33,Tamil Nadu,4,Vellore
106,Almora,M.B.,5,Uttaranchal,9,Almora
107,Almora,C.B.,5,Uttaranchal,9,Almora
108,Alnavar,T.P.,29,Karnataka,9,Dharwad
109,Along,C.T.,12,Arunachal Pradesh,7,West Siang
110,Alot,N.P.,23,Madhya Pradesh,20,Ratlam
111,Alpur,C.T.,19,West Bengal,16,Haora 
112,Alur,T.P.,29,Karnataka,23,Hassan
113,Alur,T.P.,33,Tamil Nadu,30,Kanniyakumari
114,Aluva,M,32,Kerala,8,Ernakulam
115,Alwal,M,28,Andhra Pradesh,6,Rangareddi
116,Alwar,M.Cl.,8,Rajasthan,6,Alwar
117,Alwarkurichi,T.P.,33,Tamil Nadu,29,Tirunelveli
118,Alwarthirunagiri,T.P.,33,Tamil Nadu,28,Toothukudi
119,Amadalavalasa,N.P.,28,Andhra Pradesh,11,Srikakulam
120,Amalapuram,M,28,Andhra Pradesh,14,East Godavari
121,Amalner,M.Cl.,27,Maharashtra,3,Jalgaon
122,Amanganj,N.P.,23,Madhya Pradesh,10,Panna
123,Amanpur,N.P.,9,Uttar Pradesh,17,Etah
124,Amarkantak,N.P.,23,Madhya Pradesh,16,Shahdol
125,Amarpatan,N.P.,23,Madhya Pradesh,13,Satna
126,Amarpur,N.P.,16,Tripura,2,South Tripura 
127,Amarpur,N.A.,10,Bihar,23,Banka
128,Amarwara,N.P.,23,Madhya Pradesh,43,Chhindwara
129,Ambad,M.Cl.,27,Maharashtra,18,Jalna
130,Ambada,C.T.,23,Madhya Pradesh,43,Chhindwara
131,Ambagarh Chowki,N.P.,22,Chhattisgarh,9,Rajnandgaon
132,Ambah,M,23,Madhya Pradesh,2,Morena
133,Ambaji,C.T.,24,Gujarat,2,Banas Kantha
134,Ambala,M.Cl.,6,Haryana,2,Ambala
135,Ambala Cantt.,C.B.,6,Haryana,2,Ambala
136,Ambala Sadar,M.Cl.,6,Haryana,2,Ambala
137,Ambarnath,M.Cl.,27,Maharashtra,21,Thane
138,Ambasamudram,T.P.,33,Tamil Nadu,29,Tirunelveli
139,Ambassa,C.T.,16,Tripura,3,Dhalai
140,Ambattur,M,33,Tamil Nadu,1,Thiruvallur
141,Ambehta,N.P.,9,Uttar Pradesh,1,Saharanpur
142,Ambejogai,M.Cl.,27,Maharashtra,27,Bid
143,Ambikanagara,C.T.,29,Karnataka,10,Uttara Kannada
144,Ambikapur,C.T.,22,Chhattisgarh,2,Surguja
145,Ambikapur Part-X,C.T.,18,Assam,21,Cachar
146,Ambivali Tarf Wankhal,C.T.,27,Maharashtra,24,Raigarh
147,Ambur,M,33,Tamil Nadu,4,Vellore
148,Amet,M,8,Rajasthan,25,Rajsamand
149,Amethi,N.P.,9,Uttar Pradesh,27,Lucknow
150,Amethi,N.P.,9,Uttar Pradesh,49,Sultanpur
151,Amguri,T.C.,18,Assam,16,Sibsagar
152,Amila,N.P.,9,Uttar Pradesh,62,Mau
153,Amilo,C.T.,9,Uttar Pradesh,61,Azamgarh
154,Aminagar Sarai,N.P.,9,Uttar Pradesh,8,Baghpat
155,Aminagar Urf Bhurbaral,C.T.,9,Uttar Pradesh,7,Meerut
156,Amini,C.T.,31,Lakshadweep *,1,Lakshadweep
157,Amkula,C.T.,19,West Bengal,9,Barddhaman 
158,Amla,M,23,Madhya Pradesh,35,Betul
159,Amlabad,C.T.,20,Jharkhand,13,Bokaro
160,Amlai,C.T.,23,Madhya Pradesh,16,Shahdol
161,Amli,C.T.,26,Dadra & Nagar Haveli *,1,Dadra & Nagar Haveli
162,Amloh,M.Cl.,3,Punjab,8,Fatehgarh Sahib
163,Ammainaickanur,T.P.,33,Tamil Nadu,13,Dindigul
164,Ammapettai,T.P.,33,Tamil Nadu,10,Erode
165,Ammapettai,T.P.,33,Tamil Nadu,21,Thanjavur
166,Ammavarikuppam,C.T.,33,Tamil Nadu,1,Thiruvallur
167,Ammoor,T.P.,33,Tamil Nadu,4,Vellore
168,Amodghata,C.T.,19,West Bengal,12,Hugli 
169,Amraudha,N.P.,9,Uttar Pradesh,33,Kanpur Dehat
170,Amravati,M.Corp.,27,Maharashtra,7,Amravati
171,Amreli,M,24,Gujarat,13,Amreli
172,Amritsar,M.Corp.,3,Punjab,2,Amritsar
173,Amritsar Cantt.,C.B.,3,Punjab,2,Amritsar
174,Amroha,M.B.,9,Uttar Pradesh,6,Jyotiba Phule Nagar
175,Amtala,C.T.,19,West Bengal,18,South Twentyfour Parganas
176,Anaimalai,T.P.,33,Tamil Nadu,12,Coimbatore
177,Anaiyur,T.P.,33,Tamil Nadu,24,Madurai
178,Anaiyur,T.P.,33,Tamil Nadu,26,Virudhunagar
179,Anakapalle,M,28,Andhra Pradesh,13,Visakhapatnam
180,Anakaputhur,T.P,33,Tamil Nadu,3,Kancheepuram
181,Anand,M,24,Gujarat,15,Anand
182,Anand Nagar,C.T.,18,Assam,2,Dhubri
183,Anandapur,N.A.C.,21,Orissa,6,Kendujhar
184,Anandnagar,N.P.,9,Uttar Pradesh,57,Maharajganj
185,Anandpur Sahib,M.Cl.,3,Punjab,7,Rupnagar
186,Anantapur,M,28,Andhra Pradesh,22,Anantapur
187,Ananthapuram,T.P.,33,Tamil Nadu,7,Viluppuram
188,Anantnag,T.C.,1,Jammu & Kashmir,6,Anantnag
189,Ancharakandy,C.T.,32,Kerala,2,Kannur
190,Andada,C.T.,24,Gujarat,21,Bharuch
191,Andipalayam,C.T.,33,Tamil Nadu,12,Coimbatore
192,Andipatti Jakkampatti,T.P.,33,Tamil Nadu,25,Theni
193,Andro,N.P.,14,Manipur,7,Imphal East
194,Andul,C.T.,19,West Bengal,16,Haora 
195,Anekal,T.M.C,29,Karnataka,20,Bangalore
196,Angamaly,M,32,Kerala,8,Ernakulam
197,Angarpathar,C.T.,20,Jharkhand,12,Dhanbad
198,Anjad,N.P.,23,Madhya Pradesh,28,Barwani
199,Anjangaon,M.Cl.,27,Maharashtra,7,Amravati
200,Anjar,M,24,Gujarat,1,Kachchh
201,Anjugramam,T.P.,33,Tamil Nadu,30,Kanniyakumari
202,Anklav,M,24,Gujarat,15,Anand
203,Anklesvar,M,24,Gujarat,21,Bharuch
204,Anklesvar INA,I.N.A.,24,Gujarat,21,Bharuch
205,Ankola,T.P.,29,Karnataka,10,Uttara Kannada
206,Anksa,C.T.,19,West Bengal,9,Barddhaman 
207,Ankurhati,C.T.,19,West Bengal,16,Haora 
208,Annamalai Nagar,T.P.,33,Tamil Nadu,18,Cuddalore
209,Annavasal,T.P.,33,Tamil Nadu,22,Pudukkottai
210,Annigeri,T.M.C,29,Karnataka,9,Dharwad
211,Annur,T.P.,33,Tamil Nadu,12,Coimbatore
212,Anpara,C.T.,9,Uttar Pradesh,70,Sonbhadra
213,Antah,M,8,Rajasthan,31,Baran
214,Antari,N.P.,23,Madhya Pradesh,4,Gwalior
215,Anthiyur,T.P.,33,Tamil Nadu,10,Erode
216,Antu,N.P.,9,Uttar Pradesh,43,Pratapgarh
217,Anugul,N.A.C.,21,Orissa,15,Anugul
218,Anup Nagar,C.T.,19,West Bengal,7,Murshidabad 
219,Anupgarh,M,8,Rajasthan,1,Ganganagar
220,Anuppur,N.P.,23,Madhya Pradesh,16,Shahdol
221,Anupshahr,M.B.,9,Uttar Pradesh,11,Bulandshahr 
222,Aonla,M.B.,9,Uttar Pradesh,20,Bareilly
223,Appakudal,T.P.,33,Tamil Nadu,10,Erode
224,Aquem,C.T.,30,Goa,2,South Goa
225,Ara,C.T.,20,Jharkhand,4,Hazaribag
226,Arachalur,T.P.,33,Tamil Nadu,10,Erode
227,Arakandanallur,T.P.,33,Tamil Nadu,7,Viluppuram
228,Arakonam,M,33,Tamil Nadu,4,Vellore
229,Aralvaimozhi,T.P.,33,Tamil Nadu,30,Kanniyakumari
230,Arambag,M,19,West Bengal,12,Hugli 
231,Arang,N.P.,22,Chhattisgarh,11,Raipur
232,Arani,T.P,33,Tamil Nadu,1,Thiruvallur
233,Arani,M,33,Tamil Nadu,6,Tiruvanamalai
234,Aranthangi,M,33,Tamil Nadu,22,Pudukkottai
235,Araria,M,10,Bihar,7,Araria
236,Arasiramani,T.P.,33,Tamil Nadu,8,Salem
237,Aravakurichi,T.P.,33,Tamil Nadu,14,Kapur
238,Aravankad,T.S.,33,Tamil Nadu,11,The Nilgiris
239,Arcot,M,33,Tamil Nadu,4,Vellore
240,Areraj,N.A.,10,Bihar,2,Purba Champaran
241,Argari,C.T.,19,West Bengal,16,Haora 
